Card Name,Original Yu-Gi-Oh! Page,Matched TCG Snapshot,Passcode,Status,Attribute,Type,Level,Rank,Link Rating,Link Arrows,Pendulum Scale,ATK,DEF,Spell/Trap Property,Summoning Condition,Pendulum Effect / Condition,Lore / Effect / Description,Supports,Anti-Supports,Card Actions,Effect Types
Paladin of White Dragon,18,Yes,,,LIGHT,[Dragon/Ritual?Effect],4,,,,,1900,1200,,,,"You can Ritual Summon this card with ""White Dragon Ritual"". At the start of the Damage Step, if this card attacks a face-down Defense Position monster: Destroy that face-down monster. You can Tribute this card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand or Deck, but ""Blue-Eyes White Dragon"" cannot attack for the rest of this turn.",Blue-Eyes White Dragon,,,Summon/Trigger/Ignition
Panther Warrior,18,Yes,,,EARTH,[Beast-Warrior/Effect],4,,,,,2000,1600,,,,This card cannot declare an attack unless you Tribute 1 monster.,,,,Continuous
Parasite Caterpillar,18,No,,,,,,,,,,,,,,,,,,,
Parrot Dragon,18,Yes,,,WIND,[Dragon/Normal],5,,,,,2000,1300,,,,A dragon from the cartoons that's more dangerous than it appears to be.,,,,
Pendulum Machine,19,Yes,,,DARK,[Machine/Normal],6,,,,,1750,2000,,,,A horrible torture machine with a large pendulum blade.,,,,
Petit Angel,19,Yes,,,LIGHT,[Fairy/Normal],3,,,,,600,900,,,,A quick-moving and tiny fairy that's very difficult to hit.,,,,
Pheromone Wasp,19,No,,,,,,,,,,,,,,,,,,,
Pinch Hopper,19,Yes,,,EARTH,[Insect/Effect],4,,,,,1000,1200,,,,When this card you control is sent to your GY: You can Special Summon 1 Insect monster from your hand.,Insect,,,Trigger
Pitch-Dark Dragon,19,Yes,,,DARK,[Dragon/Union?Effect],3,,,,,900,600,,,,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""Dark Blade"" as an Equip Spell Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK/DEF of the equipped monster by 400 points. When it attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.)",Dark Blade,Union monster,Equips self from field,Ignition/Ignition-like/Continuous-like/Condition
Polymerization,19,Yes,,,SPELL,,,,,,,,,,,,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as material.",Fusion Monster,,Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Uses cards on the player's field as Fusion Materials/Uses cards in the hand as Fusion Materials,Effect
Possessed Dark Soul,19,Yes,,,DARK,[Fiend/Effect],3,,,,,1200,800,,,,You can Tribute this face-up card; take control of all face-up Level 3 or lower monsters your opponent currently controls.,,,Tributes itself for cost/Changes control,Ignition
Power Balance,19,No,,,,,,,,,,,,,,,,,,,
Prophecy,19,No,,,,,,,,,,,,,,,,,,,
Psychic Armor Head,19,No,,,,,,,,,,,,,,,,,,,
Pumpking the King of Ghosts,19,Yes,,,DARK,[Zombie/Effect],6,,,,,1800,2000,,,,"If ""Castle of Dark Illusions"" is face-up on the field, increase the ATK and DEF of this card by 100 points. As long as this ""Castle of Dark Illusions"" remains face-up on the field, the ATK and DEF of this card continues to increase by 100 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.",Castle of Dark Illusions,,,Continuous
Purity of the Cemetery,19,No,,,,,,,,,,,,,,,,,,,
Question,19,Yes,,,SPELL,,,,,,,,,,,,"When activating this card, your opponent cannot check cards in the Graveyard. Your opponent calls the name of the first monster found at the bottom of your Graveyard. If he/she calls it right, the monster is removed from play. If he/she calls it wrong, the monster is Special Summoned to your side of the field.",,,Declares a card name,Condition/Effect
Rabid Horseman,19,Yes,,,EARTH,[Beast-Warrior/Fusion],6,,,,,2000,1700,,,,"Battle Ox + ""Mystic Horseman""",,,,
Ragnarok,19,No,,,,,,,,,,,,,,,,,,,
Raigeki,19,Yes,,,SPELL,,,,,,,,,,,,Destroy all monsters your opponent controls.,,,,Effect
Rainbow Blessing,19,No,,,,,,,,,,,,,,,,,,,
Rare Metal Soul,19,No,,,,,,,,,,,,,,,,,,,
Reaper of the Cards,19,Yes,,,DARK,[Fiend/Flip?Effect],5,,,,,1380,1930,,,,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",,,Reveals face-down cards,Flip
Reaper Scythe - Dreadscythe,19,Yes,,,SPELL,,,,,,,,,Equip,,,"Equip only to ""Guardian Dreadscythe"". It gains 500 ATK for each monster in the GYs.",Guardian Dreadscythe,,,Condition/Continuous-like
Red Archery Girl,19,Yes,,,WATER,[Aqua/Normal],4,,,,,1400,1500,,,,"A mermaid archer that hides in a protective shell, waiting for the right moment to strike.",,,,
Red-Eyes B. Dragon,19,No,,,,,,,,,,,,,,,,,,,
Red-Eyes Black Metal Dragon,19,Yes,,,DARK,[Machine/Effect],8,,,,,2800,2400,,,,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your Deck) by Tributing ""Red-Eyes B. Dragon"" equipped with ""Metalmorph"".",Red-Eyes Black Dragon/Metalmorph,,Tributes for cost,Summon
Red-Eyes Transmigration,19,Yes,,,SPELL,,,,,,,,,Ritual,,,"This card is used to Ritual Summon ""Lord of the Red"". You must also Tribute monsters from your hand or field, and/or banish ""Red-Eyes"" monsters from your GY, whose total Levels equal 8 or more.",Supports archetypes /Red-Eyes,,Tributes as an effect,Effect
Reduction Barrier,20,No,,,,,,,,,,,,,,,,,,,
Release Restraint,20,Yes,,,SPELL,,,,,,,,,,,,"Tribute 1 ""Gearfried the Iron Knight""; Special Summon 1 ""Gearfried the Swordmaster"" from your hand or Deck.",Gearfried the Iron Knight/Gearfried the Swordmaster,,Tributes for cost,Cost/Effect
Relinquished,20,Yes,,,DARK,[Spellcaster/Ritual?Effect],1,,,,,0,0,,,,"You can Ritual Summon this card with ""Black Illusion Ritual"". Once per turn: You can target 1 monster your opponent controls; equip that target to this card (max. 1). This card's ATK/DEF become equal to that equipped monster's. If this card would be destroyed by battle, destroy that equipped monster instead. While equipped with that monster, any battle damage you take from battles involving this card inflicts equal effect damage to your opponent.",,,Equips monsters from the opponent's field to itself,Summon/Ignition/Continuous
Remove Trap,20,Yes,,,SPELL,,,,,,,,,,,,Target 1 face-up Trap on the field; destroy it.,,,,Effect
Rescuer from the Grave,20,No,,,,,,,,,,,,,,,,,,,
Return of the Doomed,20,Yes,,,SPELL,,,,,,,,,,,,Discard 1 Monster Card from your hand to the Graveyard. Return 1 of your monsters destroyed and sent to your Graveyard as a result of battle during this turn to your hand at the end of this turn.,,,Discards for cost/Adds from Graveyard to hand,Cost/Effect
Right Arm of the Forbidden One,20,Yes,,,DARK,[Spellcaster/Normal],1,,,,,200,300,,,,A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power.,,,,
Right Leg of the Forbidden One,20,Yes,,,DARK,[Spellcaster/Normal],1,,,,,200,300,,,,A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power.,,,,
Ring of Destruction,20,Yes,,,TRAP,,,,,,,,,,,,"During your opponent's turn: Target 1 face-up monster your opponent controls whose ATK is less than or equal to their LP; destroy that face-up monster, and if you do, take damage equal to its original ATK, then inflict damage to your opponent, equal to the damage you took. You can only activate 1 ""Ring of Destruction"" per turn.",,,,Activation requirement/Effect/Condition
Ring of Magnetism,20,Yes,,,SPELL,,,,,,,,,Equip,,,"You can only equip this card to a monster on your side of the field. Decrease the ATK and DEF of a monster equipped with this card by 500 points. In addition, all the monsters on your opponent's side of the field can only attack the monster equipped with this card, if they attack.",,,,Condition/Continuous-like
Riryoku,20,Yes,,,SPELL,,,,,,,,,,,,"Target 2 face-up monsters on the field; halve the ATK of 1 monster, and if you do, add that lost ATK to the other monster. These effects last until the end of this turn.",,,,Effect/Condition
Rock Ogre Grotto #1,20,Yes,,,EARTH,[Rock/Normal],3,,,,,800,1200,,,,"Protected by a solid body of rock, this monster throws a bone-shattering punch.",,,,
Rod of Silence - Kay'est,20,Yes,,,SPELL,,,,,,,,,Equip,,,"The equipped monster gains 500 DEF. Negate other Spell effects that target the equipped monster, and if you do, destroy that Spell Card.",,,,Continuous-like
Rogue Doll,20,Yes,,,LIGHT,[Spellcaster/Normal],4,,,,,1600,1000,,,,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",,,,
Roll of Fate,20,No,,,,,,,,,,,,,,,,,,,
Rose Whip,20,No,,,,,,,,,,,,,,,,,,,
Roulette Spider,20,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"When an opponent's monster declares an attack: Roll a six-sided die and apply the result.1: Halve your LP.2: Make that attack a direct attack.3: Choose 1 monster you control, change the attack target to it, and perform damage calculation.4: Choose 1 other monster your opponent controls, change the attack target to it, and perform damage calculation.5: Negate the attack, and if you do, inflict damage to your opponent equal to that monster's ATK.6: Destroy that opponent's monster.",,,Activates upon attack declaration,Activation requirement/Effect
Royal Decree,20,Yes,,,TRAP,,,,,,,,,Continuous,,,Negate all other Trap effects on the field.,,,,Continuous-like
Rude Kaiser,20,Yes,,,EARTH,[Beast-Warrior/Normal],5,,,,,1800,1600,,,,"With an axe in each hand, this monster delivers heavy damage.",,,,
Ryu-Kishin Powered,20,Yes,,,DARK,[Fiend/Normal],4,,,,,1600,1200,,,,A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent.,,,,
Ryu-Ran,20,Yes,,,FIRE,[Dragon/Normal],7,,,,,2200,2600,,,,A vicious little dragon sheltered in an egg that looks deceptively harmless.,,,,
Sage's Stone,20,Yes,,,SPELL,,,,,,,,,,,,"If you control a face-up ""Dark Magician Girl"": Special Summon 1 ""Dark Magician"" from your hand or Deck.",Dark Magician Girl/Dark Magician,,,Activation requirement/Effect
Saggi the Dark Clown,20,Yes,,,DARK,[Spellcaster/Normal],3,,,,,600,1500,,,,This clown appears from nowhere and executes very strange moves to avoid enemy attacks.,,,,
Salamandra,20,Yes,,,SPELL,,,,,,,,,Equip,,,Equip only to a FIRE monster. It gains 700 ATK.,FIRE,,,Condition/Continuous-like
Sangan,21,Yes,,,DARK,[Fiend/Effect],3,,,,,1000,600,,,,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.",,,Activates from your Graveyard/Adds from Deck to hand,Trigger/Condition
Scapegoat,21,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"Special Summon 4 ""Sheep Tokens"" (Beast/EARTH/Level 1/ATK 0/DEF 0) in Defense Position. They cannot be Tributed for a Tribute Summon. You cannot Summon other monsters the turn you activate this card (but you can Normal Set).",,,,Effect/Lingering/Condition
Science Soldier,21,Yes,,,DARK,[Warrior/Normal],3,,,,,800,800,,,,Soldiers equipped with state-of-the-art weaponry to face unknown creatures.,,,,
Self Tribute,21,No,,,,,,,,,,,,,,,,,,,
Serpent Night Dragon,21,Yes,,,DARK,[Dragon/Normal],7,,,,,2350,2400,,,,A dragon created from the soul of a wicked knight.,,,,
Set Sail for the Kingdom,21,No,,,,,,,,,,,,,,,,,,,
Seven-Armed Fiend,21,No,,,,,,,,,,,,,,,,,,,
Shadow Balance,21,No,,,,,,,,,,,,,,,,,,,
Shadow Ghoul,21,Yes,,,DARK,[Zombie/Effect],5,,,,,1600,1300,,,,Gains 100 ATK for each monster in your GY.,,,,Continuous
Shadow of Eyes,21,Yes,,,TRAP,,,,,,,,,,,,When a monster(s) is Set on your opponent's field: Target 1 of those Set monsters; change that Set monster to face-up Attack Position. (Flip Effects are not activated.),,Flip monster,Changes battle positions/Flips monsters face-up,Activation requirement/Effect/Condition
Shadow Spell,21,Yes,,,TRAP,,,,,,,,,Continuous,,,"Activate this card by targeting 1 face-up monster your opponent controls; it loses 700 ATK, also it cannot attack or change its battle position. When it leaves the field, destroy this card.",,,Prevents Battle Position changes,Continuous-like
Shield & Sword,21,Yes,,,SPELL,,,,,,,,,,,,"Switch the original ATK and DEF of all face-up monsters currently on the field, until the end of this turn.",,,,Effect
Shield Wall,21,No,,,,,,,,,,,,,,,,,,,
Shine Palace,21,Yes,,,SPELL,,,,,,,,,Equip,,,Equip only to a LIGHT monster. It gains 700 ATK.,LIGHT,,,Condition/Continuous-like
Shining Abyss,21,Yes,,,LIGHT,[Fairy/Normal],4,,,,,1600,1800,,,,This monster employs the powers of both Light and Darkness.,,,,
Shining Friendship,21,Yes,,,LIGHT,[Fairy/Normal],4,,,,,1300,1100,,,,The peacemaker among monsters.,,,,
Silver Dollar,21,No,,,,,,,,,,,,,,,,,,,
Silver Fang,21,Yes,,,EARTH,[Beast/Normal],3,,,,,1200,800,,,,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle.",,,,
Skull Dice,21,Yes,,,TRAP,,,,,,,,,,,,"Roll a six-sided die. All monsters your opponent currently controls lose ATK/DEF equal to the result x 100, until the end of this turn.",,,,Effect
Skull-Mark Ladybug,21,Yes,,,EARTH,[Insect/Effect],4,,,,,500,1500,,,,"When this card is sent to the Graveyard, increase your Life Points by 1000 points.",,,Activates from your Graveyard,Trigger
Sky Union,21,No,,,,,,,,,,,,,,,,,,,
Slot Machine,21,Yes,,,DARK,[Machine/Normal],7,,,,,2000,2300,,,,The machine's ability is said to vary according to its slot results.,,,,
Soldier Revolt,21,No,,,,,,,,,,,,,,,,,,,
Solemn Judgment,21,Yes,,,TRAP,,,,,,,,,Counter,,,"When a monster(s) would be Summoned, OR a Spell/Trap Card is activated: Pay half your LP; negate the Summon or activation, and if you do, destroy that card.",,,,Activation requirement/Cost/Effect
Sonic Maid,22,Yes,,,EARTH,[Warrior/Normal],3,,,,,1200,900,,,,"A maiden that uses sound to her advantage, she wields a scythe that's shaped like a musical note.",,,,
Soul Charge,22,Yes,,,SPELL,,,,,,,,,,,,"Target any number of monsters in your GY; Special Summon them, and if you do, you lose 1000 LP for each monster Special Summoned by this effect. You cannot conduct your Battle Phase the turn you activate this card. You can only activate 1 ""Soul Charge"" per turn.",,,,Effect/Condition
Soul Demolition,22,Yes,,,TRAP,,,,,,,,,Continuous,,,"If you control a Fiend monster: You can pay 500 LP, then each player targets 1 monster in their opponent's GY; banish those targets.",Fiend,,,Quick-like
Soul Exchange,22,Yes,,,SPELL,,,,,,,,,,,,"Target 1 monster your opponent controls; this turn, if you Tribute a monster, you must Tribute that target, as if you controlled it. You cannot conduct your Battle Phase the turn you activate this card.",,,Tributes opponent's monsters/Cannot conduct Battle Phase,Effect/Condition
Soul Release,22,Yes,,,SPELL,,,,,,,,,,,,Target up to 5 cards in any GY(s); banish them.,,,,Effect
Soul Taker,22,Yes,,,SPELL,,,,,,,,,,,,"Target 1 face-up monster your opponent controls; destroy that target, then your opponent gains 1000 LP.",,,,Effect
Spear Dragon,22,Yes,,,WIND,[Dragon/Effect],4,,,,,1900,0,,,,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card attacks, it is changed to Defense Position at the end of the Damage Step.",,,Changes battle positions,Continuous
Spell Canceller,22,Yes,,,WIND,[Machine/Effect],5,,,,,1800,1600,,,,"Spell Cards, and their effects on the field, cannot be activated. Negate all Spell effects on the field.",,,,Continuous
Spell Sanctuary,22,No,,,,,,,,,,,,,,,,,,,
Spider Web,22,Yes,,,SPELL,,,,,,,,,Field,,,"If a monster declares an attack, it is changed to Defense Position at the end of the Damage Step. It cannot change its battle position until the End Phase of its controller's next turn, while this card remains on the field.",,,Changes battle positions/Prevents battle position changes,Continuous-like
Spikebot,22,Yes,,,DARK,[Machine/Normal],5,,,,,1800,1700,,,,"A mechanical soldier created by a wicked sorcerer, it attacks with the two steel balls attached to its arms.",,,,
Spirit of the Harp,22,Yes,,,LIGHT,[Fairy/Normal],4,,,,,800,2000,,,,A spirit that soothes the soul with the music of its heavenly harp.,,,,
Star Blaster,22,No,,,,,,,,,,,,,,,,,,,
Stop Defense,22,Yes,,,SPELL,,,,,,,,,,,,Target 1 Defense Position monster your opponent controls; change that target to Attack Position.,,,Changes battle positions,Effect
Strike Ninja,22,Yes,,,DARK,[Warrior/Effect],4,,,,,1700,1200,,,,"(Quick Effect): You can banish 2 DARK monsters from your GY; banish this face-up card until the End Phase. You can only use this effect of ""Strike Ninja"" once per turn.",DARK,,Returns itself to the field while banished,Quick
Suijin,22,Yes,,,WATER,[Aqua/Effect],7,,,,,2500,2400,,,,"Once while face-up on the field, during damage calculation in your opponent's turn, if this card is being attacked (Quick Effect): You can target the attacking monster; make that target's ATK 0 during damage calculation only.",,,,Quick/Condition
Summon Dice,22,Yes,,,SPELL,,,,,,,,,,,,"Pay 1000 LP; roll a six-sided die and apply the result.?1 or 2: Immediately after this effect resolves, you can Normal Summon 1 monster.?3 or 4: You can Special Summon 1 monster from your GY.?5 or 6: You can Special Summon 1 Level 5 or higher monster from your hand.You can only activate 1 ""Summon Dice"" per turn.",,,,Cost/Effect/Condition
Summoned Skull,22,Yes,,,DARK,[Fiend/Normal],6,,,,,2500,1200,,,,"A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.(This card is always treated as an ""Archfiend"" card.)",,,,
Super Roboyarou,22,Yes,,,EARTH,[Machine/Fusion?Effect],6,,,,,1200,500,,"Roboyarou + ""Robolady""",,"You can Special Summon ""Super Robolady"" by returning this card from the field to the Extra Deck. You cannot use this effect during the same turn this monster is Special Summoned. In addition, increase the ATK of this monster by 1000 points during the Damage Step when this monster battles with a monster.",Super Robolady,,Returns itself from field to Extra Deck for cost,Ignition/Condition/Trigger
Swamp Battleguard,22,Yes,,,EARTH,[Warrior/Effect],5,,,,,1800,1500,,,,"Gains 500 ATK for each ""Lava Battleguard"" you control.",Lava Battleguard,,,Continuous
Sword Arm of Dragon,22,Yes,,,EARTH,[Dinosaur/Normal],6,,,,,1750,2030,,,,"This Jurassic juggernaut has a spine covered in sword-like plates, and a tail to split open skulls.",,,,
Sword Hunter,22,Yes,,,EARTH,[Warrior/Effect],7,,,,,2450,1700,,,,"At the end of the Battle Phase, if this card destroyed a monster(s) by battle and sent it to the Graveyard this Battle Phase: Equip all those monsters from the Graveyard to this card as an Equip Spell Card(s) with this effect.?The equipped monster gains 200 ATK.",,,Activates when it destroys a monster by battle/Equips monsters from the player's Graveyard to itself/Equips monsters from the opponent's Graveyard to itself/Grants effect to Equip Spell Card,Trigger/Continuous
Sword of Soul,22,No,,,,,,,,,,,,,,,,,,,
Swords of Revealing Light,22,Yes,,,SPELL,,,,,,,,,,,,"After this card's activation, it remains on the field, but you must destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack.",,,Flips monsters face-up,Condition/Effect/Continuous-like
Swordsman of Landstar,23,Yes,,,EARTH,[Warrior/Normal],3,,,,,500,1200,,,,"An amateur with a sword, this fairy warrior relies on its mysterious powers.",,,,
Take One Chance,23,No,,,,,,,,,,,,,,,,,,,
Tank Corps,23,No,,,,,,,,,,,,,,,,,,,
Tears of a Mermaid,23,No,,,,,,,,,,,,,,,,,,,
The 13th Grave,23,Yes,,,DARK,[Zombie/Normal],3,,,,,1200,900,,,,A zombie that suddenly appeared from plot #13 - an empty grave.,,,,
The A. Forces,23,Yes,,,SPELL,,,,,,,,,Continuous,,,All Warrior-Type monsters you control gain 200 ATK for each Warrior or Spellcaster-Type monster you control.,Warrior/Spellcaster,,,Continuous-like
The Eye of Truth,23,Yes,,,TRAP,,,,,,,,,Continuous,,,"Your opponent must keep their hand revealed. Once per turn, during your opponent's Standby Phase, if they have a Spell(s) in their hand: They gain 1000 LP if they have a Spell(s) in their hand at resolution.",,,Reveals your opponent's hand,Continuous-like/Trigger-like
The Fiend Megacyber,23,Yes,,,DARK,[Warrior/Effect],6,,,,,2200,1200,,,,"If your opponent controls at least 2 more monsters than you do, you can Special Summon this card (from your hand).",,,Activates from your hand,Summon
The Flute of Summoning Dragon,23,Yes,,,SPELL,,,,,,,,,,,,"Special Summon up to 2 Dragon monsters from your hand. ""Lord of D."" must be on the field to activate and to resolve this effect.",Lord of D./Dragon,,,Effect/Condition
The Masked Beast,23,Yes,,,DARK,[Fiend/Ritual],8,,,,,3200,1800,,,,"You can Ritual Summon this card with ""Curse of the Masked Beast"".",,,,
The Monarchy,23,No,,,,,,,,,,,,,,,,,,,
The Seal of Orichalcos,23,Yes,,,SPELL,,,,,,,,,Field,,,"All monsters you control gain 500 ATK. Once per turn, this card cannot be destroyed by card effects. While you control 2 or more face-up Attack Position monsters, your opponent cannot target your monster(s) with the lowest ATK for an attack. If this card is activated: Destroy all Special Summoned monsters you control. You cannot Special Summon monsters from the Extra Deck. You can only activate ""The Seal of Orichalcos"" once per Duel.",,,,Continuous-like/Effect/Condition
The Snake Hair,23,Yes,,,DARK,[Zombie/Normal],4,,,,,1500,1200,,,,A monster with a head of poison snakes. One look from this monster can turn an opponent to stone.,,,,
The Unfriendly Amazon,23,Yes,,,EARTH,[Warrior/Effect],4,,,,,2000,1000,,,,"Offer 1 of your monsters on the field as a Tribute (excluding this monster) during each of your Standby Phases. If you cannot, this card is destroyed. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards' effects are excluded.",,,Tributes for cost,Maintenance cost
The Winged Dragon of Ra,23,Yes,,,DIVINE,[Divine-Beast/Effect],10,,,,,?,?,,,,"Cannot be Special Summoned. Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, other cards and effects cannot be activated. When this card is Normal Summoned: You can pay LP so that you only have 100 left; this card gains ATK/DEF equal to the amount of LP paid. You can pay 1000 LP, then target 1 monster on the field; destroy that target.",,,,Summon/Unclassified/Continuous/Trigger/Ignition
Thirst for Compensation,23,No,,,,,,,,,,,,,,,,,,,
Thousand Dragon,23,Yes,,,WIND,[Dragon/Fusion],7,,,,,2400,2000,,,,"Time Wizard + ""Baby Dragon""",,,,
Thousand Knives,23,Yes,,,SPELL,,,,,,,,,,,,"If you control ""Dark Magician"": Target 1 monster your opponent controls; destroy that target.",Dark Magician,,,Activation requirement/Effect
Thousand-Eyes Idol,23,Yes,,,DARK,[Spellcaster/Normal],1,,,,,0,0,,,,"A wicked entity that controls the hearts of men, its thousand eyes are able to see and expand the negative influences in an individual's soul.",,,,
Thousand-Eyes Restrict,23,Yes,,,DARK,[Spellcaster/Fusion?Effect],1,,,,,0,0,,"Relinquished + ""Thousand-Eyes Idol""",,"Other monsters on the field cannot change their battle positions or attack. Once per turn: You can target 1 monster your opponent controls; equip that target to this card (max. 1). This card's ATK/DEF become equal to that equipped monster's. If this card would be destroyed by battle, destroy that equipped monster instead.",,,Prevents battle position changes/Equips monsters from the opponent's field to itself,Continuous/Ignition
Tiger Axe,23,Yes,,,EARTH,[Beast-Warrior/Normal],4,,,,,1300,1100,,,,A fast and powerful axe-wielding beast-warrior.,,,,
Time Machine,23,Yes,,,TRAP,,,,,,,,,,,,"When a monster is destroyed by battle and sent to the GY: Special Summon that monster to the same field it was on, in the same battle position it was in when destroyed.",,,Activates if destroyed by battle,Activation requirement/Effect
Time Seal,23,Yes,,,TRAP,,,,,,,,,,,,Skip the Draw Phase of your opponent's next turn.,,,Skips Draw Phase,Effect
Time Wizard,23,Yes,,,LIGHT,[Spellcaster/Effect],2,,,,,500,400,,,,"Once per turn: You can toss a coin and call it. If you call it right, destroy all monsters your opponent controls. If you call it wrong, destroy as many monsters you control as possible, and if you do, take damage equal to half the total ATK those destroyed monsters had while face-up on the field.",,,,Ignition
Timeater,24,Yes,,,DARK,[Machine/Effect],6,,,,,1900,1700,,,,If this card destroys an opponent's monster by battle: Your opponent skips their next Main Phase 1.,,,Skips Main Phase 1,Trigger
Toon Alligator,24,Yes,,,WATER,[Reptile/Normal],4,,,,,800,1600,,,,An alligator monster straight from the cartoons.,,,,
Toon Mask,24,Yes,,,TRAP,,,,,,,,,,,,"If you control ""Toon World"": Target 1 face-up monster your opponent controls; Special Summon 1 Toon monster from your hand or Deck, whose Level is less than or equal to the Level/Rank of that monster, ignoring its Summoning conditions.",Toon World/Toon monster,,,Activation requirement/Effect
Toon Masked Sorcerer,24,Yes,,,DARK,[Spellcaster/Toon?Effect],4,,,,,900,1400,,,,"Cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon monsters, this card can attack your opponent directly. If this card inflicts battle damage to your opponent: Draw 1 card.",Toon World/Toon monster,,Activates when it inflicts battle damage/You draw cards,Continuous/Trigger
Toon Mermaid,24,Yes,,,WATER,[Aqua/Toon?Effect],4,,,,,1400,1500,,,,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand), while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.",Toon World/Toon monster,,,Summon/Continuous
Toon Rollback,24,Yes,,,SPELL,,,,,,,,,,,,Target 1 Toon monster you control; it can make a second attack during each Battle Phase this turn.,Toon monster,,,Effect
Toon Summoned Skull,24,Yes,,,DARK,[Fiend/Toon?Effect],6,,,,,2500,1200,,,,"(This card is always treated as an ""Archfiend"" card.)Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 monster, while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.",Toon World/Toon monster,,,Condition/Summon/Continuous
Toon World,24,Yes,,,SPELL,,,,,,,,,Continuous,,,Activate this card by paying 1000 LP.,,,,Cost
Torike,24,No,,,,,,,,,,,,,,,,,,,
Tornado Wall,24,Yes,,,TRAP,,,,,,,,,Continuous,,,"Activate only if ""Umi"" is on the field. While ""Umi"" is on the field, you take no battle damage. If ""Umi"" is not on the field, destroy this card.",Umi,,,Activation requirement/Continuous-like
Torrential Tribute,24,Yes,,,TRAP,,,,,,,,,,,,When a monster(s) is Summoned: Destroy all monsters on the field.,,,,Activation requirement/Effect
Toy Robot Box,24,No,,,,,,,,,,,,,,,,,,,
Trakodon,24,Yes,,,EARTH,[Dinosaur/Normal],3,,,,,1300,800,,,,A tiger-striped dragon that is often seen racing across the wasteland at tremendous speeds.,,,,
Trap Buster Armor,24,No,,,,,,,,,,,,,,,,,,,
Trap Displacement,24,No,,,,,,,,,,,,,,,,,,,
Trap Hole,24,Yes,,,TRAP,,,,,,,,,,,,When your opponent Normal or Flip Summons a monster with 1000 or more ATK: Target that monster; destroy that target.,,,,Activation requirement/Effect
Tribute to The Doomed,24,Yes,,,SPELL,,,,,,,,,,,,"Discard 1 card, then target 1 monster on the field; destroy it.",,,Discards for cost,Cost/Effect
Twin Bow Centaur,24,No,,,,,,,,,,,,,,,,,,,
Twin-Headed Behemoth,24,Yes,,,WIND,[Dragon/Effect],3,,,,,1500,1200,,,,"During the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but its ATK/DEF become 1000. You can only use this effect of ""Twin-Headed Behemoth"" once per Duel.",,,Activates from your Graveyard,Trigger/Condition
Twin-Headed Thunder Dragon,24,Yes,,,LIGHT,[Thunder/Fusion],7,,,,,2800,2100,,,,"Thunder Dragon + ""Thunder Dragon""",,,,
Two-Headed King Rex,24,Yes,,,EARTH,[Dinosaur/Normal],4,,,,,1600,1200,,,,A powerful monster whose two heads attack as one.,,,,
